yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Re-Export,Bahrain,World,64.0,Footwear; gaiters and the like; parts of such articles,76629871.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2016,2016.0,Re-Export,Bahrain,China,64.0,Footwear; gaiters and the like; parts of such articles,13263.0,,26.1551249,50.5344606,35.000074,104.999927
2016,2016.0,Re-Export,Bahrain,France,64.0,Footwear; gaiters and the like; parts of such articles,1813.0,,26.1551249,50.5344606,46.603354,1.8883335
2016,2016.0,Re-Export,Bahrain,Italy,64.0,Footwear; gaiters and the like; parts of such articles,553922.0,,26.1551249,50.5344606,42.6384261,12.674297
2016,2016.0,Re-Export,Bahrain,Kuwait,64.0,Footwear; gaiters and the like; parts of such articles,306030.0,,26.1551249,50.5344606,29.2733964,47.4979476
2016,2016.0,Re-Export,Bahrain,Oman,64.0,Footwear; gaiters and the like; parts of such articles,478.0,,26.1551249,50.5344606,21.0000287,57.0036901
2016,2016.0,Re-Export,Bahrain,Qatar,64.0,Footwear; gaiters and the like; parts of such articles,333523.0,,26.1551249,50.5344606,25.3336984,51.2295295
2016,2016.0,Re-Export,Bahrain,Saudi Arabia,64.0,Footwear; gaiters and the like; parts of such articles,70721938.0,,26.1551249,50.5344606,25.6242618,42.3528328
2016,2016.0,Re-Export,Bahrain,Spain,64.0,Footwear; gaiters and the like; parts of such articles,40995.0,,26.1551249,50.5344606,39.3260685,-4.8379791
2016,2016.0,Re-Export,Bahrain,United Arab Emirates,64.0,Footwear; gaiters and the like; parts of such articles,4598368.0,,26.1551249,50.5344606,24.0002488,53.9994829
2016,2016.0,Re-Export,Bahrain,Egypt,64.0,Footwear; gaiters and the like; parts of such articles,42074.0,,26.1551249,50.5344606,26.2540493,29.2675469
2016,2016.0,Re-Export,Bahrain,United Kingdom,64.0,Footwear; gaiters and the like; parts of such articles,17460.0,,26.1551249,50.5344606,54.7023545,-3.2765753
