yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2004,2004.0,Export,Jordan,World,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,2014027.0,,31.1667049,36.941628,-36.8535712,174.7456809
2004,2004.0,Export,Jordan,State of Palestine,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,3157.0,,31.1667049,36.941628,31.46242095,34.262716572130714
2004,2004.0,Export,Jordan,Germany,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,2905.0,,31.1667049,36.941628,51.1638175,10.4478313
2004,2004.0,Export,Jordan,Iraq,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,953400.0,,31.1667049,36.941628,33.0955793,44.1749775
2004,2004.0,Export,Jordan,Kuwait,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,36113.0,,31.1667049,36.941628,29.2733964,47.4979476
2004,2004.0,Export,Jordan,Libya,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,23036.0,,31.1667049,36.941628,26.8234472,18.1236723
2004,2004.0,Export,Jordan,Qatar,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,16881.0,,31.1667049,36.941628,25.3336984,51.2295295
2004,2004.0,Export,Jordan,Saudi Arabia,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,54469.0,,31.1667049,36.941628,25.6242618,42.3528328
2004,2004.0,Export,Jordan,India,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,976.0,,31.1667049,36.941628,22.3511148,78.6677428
2004,2004.0,Export,Jordan,South Africa,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,156.0,,31.1667049,36.941628,-28.8166236,24.991639
2004,2004.0,Export,Jordan,Fmr Sudan,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1062.0,,31.1667049,36.941628,18.046398,34.41288
2004,2004.0,Export,Jordan,Syria,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,139867.0,,31.1667049,36.941628,34.6401861,39.0494106
2004,2004.0,Export,Jordan,United Arab Emirates,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,86971.0,,31.1667049,36.941628,24.0002488,53.9994829
2004,2004.0,Export,Jordan,Turkey,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,500.0,,31.1667049,36.941628,38.9597594,34.9249653
2004,2004.0,Export,Jordan,Egypt,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,2821.0,,31.1667049,36.941628,26.2540493,29.2675469
2004,2004.0,Export,Jordan,United Kingdom,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,8433.0,,31.1667049,36.941628,54.7023545,-3.2765753
2004,2004.0,Export,Jordan,Free Zones,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,446305.0,,31.1667049,36.941628,5.57675525,-0.1653113957934536
2004,2004.0,Export,Jordan,USA,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,223999.0,,31.1667049,36.941628,39.7837304,-100.445882
2004,2004.0,Export,Jordan,Venezuela,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,4231.0,,31.1667049,36.941628,8.0018709,-66.1109318
2004,2004.0,Export,Jordan,Yemen,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,8747.0,,31.1667049,36.941628,16.3471243,47.8915271
