yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2021,2021.0,Export,Cyprus,World,35.0,Albuminoidal substances; modified starches; glues; enzymes,857104.0,,34.9823018,33.1451285,-36.8535712,174.7456809
2021,2021.0,Export,Cyprus,Bangladesh,35.0,Albuminoidal substances; modified starches; glues; enzymes,93140.0,,34.9823018,33.1451285,24.4769288,90.2934413
2021,2021.0,Export,Cyprus,Bulgaria,35.0,Albuminoidal substances; modified starches; glues; enzymes,260.0,,34.9823018,33.1451285,42.6073975,25.4856617
2021,2021.0,Export,Cyprus,Czechia,35.0,Albuminoidal substances; modified starches; glues; enzymes,85.0,,34.9823018,33.1451285,49.7439047,15.3381061
2021,2021.0,Export,Cyprus,France,35.0,Albuminoidal substances; modified starches; glues; enzymes,23227.0,,34.9823018,33.1451285,46.603354,1.8883335
2021,2021.0,Export,Cyprus,Germany,35.0,Albuminoidal substances; modified starches; glues; enzymes,4332.0,,34.9823018,33.1451285,51.1638175,10.4478313
2021,2021.0,Export,Cyprus,Ghana,35.0,Albuminoidal substances; modified starches; glues; enzymes,2696.0,,34.9823018,33.1451285,8.0300284,-1.0800271
2021,2021.0,Export,Cyprus,Greece,35.0,Albuminoidal substances; modified starches; glues; enzymes,531330.0,,34.9823018,33.1451285,38.9953683,21.9877132
2021,2021.0,Export,Cyprus,Hungary,35.0,Albuminoidal substances; modified starches; glues; enzymes,86.0,,34.9823018,33.1451285,47.1817585,19.5060937
2021,2021.0,Export,Cyprus,Israel,35.0,Albuminoidal substances; modified starches; glues; enzymes,31011.0,,34.9823018,33.1451285,30.8124247,34.8594762
2021,2021.0,Export,Cyprus,Italy,35.0,Albuminoidal substances; modified starches; glues; enzymes,3107.0,,34.9823018,33.1451285,42.6384261,12.674297
2021,2021.0,Export,Cyprus,Lebanon,35.0,Albuminoidal substances; modified starches; glues; enzymes,28386.0,,34.9823018,33.1451285,33.8750629,35.843409
2021,2021.0,Export,Cyprus,Netherlands,35.0,Albuminoidal substances; modified starches; glues; enzymes,2959.0,,34.9823018,33.1451285,52.2434979,5.6343227
2021,2021.0,Export,Cyprus,Romania,35.0,Albuminoidal substances; modified starches; glues; enzymes,42118.0,,34.9823018,33.1451285,45.9852129,24.6859225
2021,2021.0,Export,Cyprus,Slovakia,35.0,Albuminoidal substances; modified starches; glues; enzymes,114.0,,34.9823018,33.1451285,48.7411522,19.4528646
2021,2021.0,Export,Cyprus,United Arab Emirates,35.0,Albuminoidal substances; modified starches; glues; enzymes,86549.0,,34.9823018,33.1451285,24.0002488,53.9994829
2021,2021.0,Export,Cyprus,Egypt,35.0,Albuminoidal substances; modified starches; glues; enzymes,7697.0,,34.9823018,33.1451285,26.2540493,29.2675469
