yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2004,2004.0,Import,Lebanon,World,81.0,Other base metals; cermets; articles thereof,408000.0,,33.8750629,35.843409,-36.8535712,174.7456809
2004,2004.0,Import,Lebanon,Belgium,81.0,Other base metals; cermets; articles thereof,172000.0,,33.8750629,35.843409,50.6402809,4.6667145
2004,2004.0,Import,Lebanon,China,81.0,Other base metals; cermets; articles thereof,46000.0,,33.8750629,35.843409,35.000074,104.999927
2004,2004.0,Import,Lebanon,France,81.0,Other base metals; cermets; articles thereof,4000.0,,33.8750629,35.843409,46.603354,1.8883335
2004,2004.0,Import,Lebanon,Germany,81.0,Other base metals; cermets; articles thereof,88000.0,,33.8750629,35.843409,51.1638175,10.4478313
2004,2004.0,Import,Lebanon,Italy,81.0,Other base metals; cermets; articles thereof,8000.0,,33.8750629,35.843409,42.6384261,12.674297
2004,2004.0,Import,Lebanon,Japan,81.0,Other base metals; cermets; articles thereof,62000.0,,33.8750629,35.843409,36.5748441,139.2394179
2004,2004.0,Import,Lebanon,India,81.0,Other base metals; cermets; articles thereof,3000.0,,33.8750629,35.843409,22.3511148,78.6677428
2004,2004.0,Import,Lebanon,South Africa,81.0,Other base metals; cermets; articles thereof,2000.0,,33.8750629,35.843409,-28.8166236,24.991639
2004,2004.0,Import,Lebanon,United Kingdom,81.0,Other base metals; cermets; articles thereof,1000.0,,33.8750629,35.843409,54.7023545,-3.2765753
2004,2004.0,Import,Lebanon,USA,81.0,Other base metals; cermets; articles thereof,22000.0,,33.8750629,35.843409,39.7837304,-100.445882
