yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,2430377,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,7225504,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,11935306,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,304681104,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,2927264,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Melanesia,Oceania,2258,38.9597594,34.9249653,1.0108650891006263,147.3257485906919
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Africa,Africa,7755308,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,13972840,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,48625392,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,3278564,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,47515098,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,71023729,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,12532951,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,2538582,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,45747443,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2007,2007,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,654100553,38.9597594,34.9249653,,
