yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,578832,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1913816,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,802,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,154,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,31200,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,14940,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,1281226,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,4230,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,4378575,40.7696272,44.6736646,,
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,493202,40.7696272,44.6736646,,
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,54263,40.7696272,44.6736646,,
2011,2011,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,5912,40.7696272,44.6736646,,
