yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Saudi Arabia,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21659937,,,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,Angola,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",121881,,,-11.8775768,17.5691241
2016,2016,Export,Saudi Arabia,Argentina,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",374711,,,-34.9964963,-64.9672817
2016,2016,Export,Saudi Arabia,Australia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",223760,,,-24.7761086,134.755
2016,2016,Export,Saudi Arabia,Austria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",76009,,,47.59397,14.12456
2016,2016,Export,Saudi Arabia,Bahrain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",762758,,,26.1551249,50.5344606
2016,2016,Export,Saudi Arabia,Brazil,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",32003,,,-10.3333333,-53.2
2016,2016,Export,Saudi Arabia,Brunei Darussalam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",130148,,,,
2016,2016,Export,Saudi Arabia,Canada,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",187489,,,61.0666922,-107.991707
2016,2016,Export,Saudi Arabia,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",74408,,,35.000074,104.999927
2016,2016,Export,Saudi Arabia,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2049579,,,46.603354,1.8883335
2016,2016,Export,Saudi Arabia,Germany,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",955848,,,51.1638175,10.4478313
2016,2016,Export,Saudi Arabia,"China, Hong Kong SAR",82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",210158,,,22.350627,114.1849161
2016,2016,Export,Saudi Arabia,Indonesia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",27736,,,-2.4833826,117.8902853
2016,2016,Export,Saudi Arabia,Iraq,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",46938,,,33.0955793,44.1749775
2016,2016,Export,Saudi Arabia,Italy,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",470723,,,42.6384261,12.674297
2016,2016,Export,Saudi Arabia,Japan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",104279,,,36.5748441,139.2394179
2016,2016,Export,Saudi Arabia,Jordan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",73342,,,31.1667049,36.941628
2016,2016,Export,Saudi Arabia,Kuwait,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2449627,,,29.2733964,47.4979476
2016,2016,Export,Saudi Arabia,Morocco,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",255230,,,31.1728205,-7.3362482
2016,2016,Export,Saudi Arabia,Oman,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",740889,,,21.0000287,57.0036901
2016,2016,Export,Saudi Arabia,Netherlands,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",225627,,,52.2434979,5.6343227
2016,2016,Export,Saudi Arabia,Nigeria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",31737,,,9.6000359,7.9999721
2016,2016,Export,Saudi Arabia,Norway,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1368697,,,60.5000209,9.0999715
2016,2016,Export,Saudi Arabia,Pakistan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",414449,,,30.3308401,71.247499
2016,2016,Export,Saudi Arabia,Paraguay,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",43205,,,,
2016,2016,Export,Saudi Arabia,Poland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",64007,,,52.215933,19.134422
2016,2016,Export,Saudi Arabia,Qatar,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",922510,,,25.3336984,51.2295295
2016,2016,Export,Saudi Arabia,Russian Federation,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",30403,,,64.6863136,97.7453061
2016,2016,Export,Saudi Arabia,India,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",61340,,,22.3511148,78.6677428
2016,2016,Export,Saudi Arabia,Singapore,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",66941,,,1.357107,103.8194992
2016,2016,Export,Saudi Arabia,Viet Nam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",30670,,,15.9266657,107.9650855
2016,2016,Export,Saudi Arabia,Somalia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",63474,,,8.3676771,49.083416
2016,2016,Export,Saudi Arabia,Sudan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",645144,,,14.5844444,29.4917691
2016,2016,Export,Saudi Arabia,Sweden,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",235228,,,59.6749712,14.5208584
2016,2016,Export,Saudi Arabia,Switzerland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",235494,,,46.7985624,8.2319736
2016,2016,Export,Saudi Arabia,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6973905,,,24.0002488,53.9994829
2016,2016,Export,Saudi Arabia,Tunisia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",50139,,,33.8439408,9.400138
2016,2016,Export,Saudi Arabia,Turkey,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",32270,,,38.9597594,34.9249653
2016,2016,Export,Saudi Arabia,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",160552,,,26.2540493,29.2675469
