yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Comoros,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",287802,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",75894,,,35.000074,104.999927
2019,2019,Import,Comoros,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",60473,,,46.603354,1.8883335
2019,2019,Import,Comoros,Indonesia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4,,,-2.4833826,117.8902853
2019,2019,Import,Comoros,Kenya,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4832,,,1.4419683,38.4313975
2019,2019,Import,Comoros,Kuwait,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",38,,,29.2733964,47.4979476
2019,2019,Import,Comoros,Netherlands,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",929,,,52.2434979,5.6343227
2019,2019,Import,Comoros,Saudi Arabia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1991,,,25.6242618,42.3528328
2019,2019,Import,Comoros,India,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1404,,,22.3511148,78.6677428
2019,2019,Import,Comoros,South Africa,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",284,,,-28.8166236,24.991639
2019,2019,Import,Comoros,Thailand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",795,,,14.8971921,100.83273
2019,2019,Import,Comoros,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",136404,,,24.0002488,53.9994829
2019,2019,Import,Comoros,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",257,,,26.2540493,29.2675469
2019,2019,Import,Comoros,United Rep. of Tanzania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4491,,,,
