yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,116555,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,4216463,30.3308401,71.247499,37.977378106878206,73.97804075806764
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,7942,30.3308401,71.247499,51.67568633314729,27.673469819741847
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,166222,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,3184,30.3308401,71.247499,19.569604022535763,12.47761721199581
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,899643,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1730926,30.3308401,71.247499,59.36075159783851,25.01346951967388
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4451661,30.3308401,71.247499,10.528384761701911,103.08333472012376
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,79348,30.3308401,71.247499,25.499703063807168,75.5024015339642
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1374688,30.3308401,71.247499,40.12399607988535,20.742583178432696
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,61471,30.3308401,71.247499,6.06272746187266,22.727528470146083
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,110941,30.3308401,71.247499,26.42921218083572,52.86847103284948
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4832088,30.3308401,71.247499,47.92172048214207,7.866753258497997
2006,2006,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,20079118,30.3308401,71.247499,,
