yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Comoros,World,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",198024,,,-36.8535712,174.7456809
2016,2016,Export,Comoros,China,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8991,,,35.000074,104.999927
2016,2016,Export,Comoros,France,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8,,,46.603354,1.8883335
2016,2016,Export,Comoros,Côte d'Ivoire,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13820,,,7.9897371,-5.5679458
2016,2016,Export,Comoros,Madagascar,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",136941,,,-18.9249604,46.4416422
2016,2016,Export,Comoros,Mauritania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14904,,,20.2540382,-9.2399263
2016,2016,Export,Comoros,Senegal,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1503,,,14.4750607,-14.4529612
2016,2016,Export,Comoros,India,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11239,,,22.3511148,78.6677428
2016,2016,Export,Comoros,Singapore,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4495,,,1.357107,103.8194992
2016,2016,Export,Comoros,United Arab Emirates,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5893,,,24.0002488,53.9994829
2016,2016,Export,Comoros,United Rep. of Tanzania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",224,,,,
