yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,52000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,6155000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1128000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,3000,30.8124247,34.8594762,,
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,319000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,19518000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,12319000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,524000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,10591000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,127000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1972000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,54277000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,109489000,30.8124247,34.8594762,,
2016,2016,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,70000,30.8124247,34.8594762,,
