yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,478000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,49000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1101000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1000,30.8124247,34.8594762,,
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,379000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,4410000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,5556000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,18000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,581000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,375000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,12314000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,World,World,25295000,30.8124247,34.8594762,,
2003,2003,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,30000,30.8124247,34.8594762,,
