yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2006,2006.0,Import,Lebanon,World,81.0,Other base metals; cermets; articles thereof,349054.0,,33.8750629,35.843409,-36.8535712,174.7456809
2006,2006.0,Import,Lebanon,Belgium,81.0,Other base metals; cermets; articles thereof,1045.0,,33.8750629,35.843409,50.6402809,4.6667145
2006,2006.0,Import,Lebanon,Chile,81.0,Other base metals; cermets; articles thereof,76.0,,33.8750629,35.843409,-31.7613365,-71.3187697
2006,2006.0,Import,Lebanon,China,81.0,Other base metals; cermets; articles thereof,86172.0,,33.8750629,35.843409,35.000074,104.999927
2006,2006.0,Import,Lebanon,Finland,81.0,Other base metals; cermets; articles thereof,154922.0,,33.8750629,35.843409,63.2467777,25.9209164
2006,2006.0,Import,Lebanon,France,81.0,Other base metals; cermets; articles thereof,1111.0,,33.8750629,35.843409,46.603354,1.8883335
2006,2006.0,Import,Lebanon,Germany,81.0,Other base metals; cermets; articles thereof,35580.0,,33.8750629,35.843409,51.1638175,10.4478313
2006,2006.0,Import,Lebanon,Italy,81.0,Other base metals; cermets; articles thereof,1414.0,,33.8750629,35.843409,42.6384261,12.674297
2006,2006.0,Import,Lebanon,Japan,81.0,Other base metals; cermets; articles thereof,46772.0,,33.8750629,35.843409,36.5748441,139.2394179
2006,2006.0,Import,Lebanon,India,81.0,Other base metals; cermets; articles thereof,2768.0,,33.8750629,35.843409,22.3511148,78.6677428
2006,2006.0,Import,Lebanon,Switzerland,81.0,Other base metals; cermets; articles thereof,431.0,,33.8750629,35.843409,46.7985624,8.2319736
2006,2006.0,Import,Lebanon,United Kingdom,81.0,Other base metals; cermets; articles thereof,230.0,,33.8750629,35.843409,54.7023545,-3.2765753
2006,2006.0,Import,Lebanon,USA,81.0,Other base metals; cermets; articles thereof,18533.0,,33.8750629,35.843409,39.7837304,-100.445882
