yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Kuwait,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2565759,,,-36.8535712,174.7456809
2016,2016,Re-Export,Kuwait,Angola,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",28450,,,-11.8775768,17.5691241
2016,2016,Re-Export,Kuwait,Austria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8028,,,47.59397,14.12456
2016,2016,Re-Export,Kuwait,Bahrain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",63874,,,26.1551249,50.5344606
2016,2016,Re-Export,Kuwait,Belgium,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",90459,,,50.6402809,4.6667145
2016,2016,Re-Export,Kuwait,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2692,,,35.000074,104.999927
2016,2016,Re-Export,Kuwait,Colombia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",15376,,,4.099917,-72.9088133
2016,2016,Re-Export,Kuwait,Denmark,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",896,,,55.670249,10.3333283
2016,2016,Re-Export,Kuwait,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",35248,,,46.603354,1.8883335
2016,2016,Re-Export,Kuwait,Germany,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",157470,,,51.1638175,10.4478313
2016,2016,Re-Export,Kuwait,Greece,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",60662,,,38.9953683,21.9877132
2016,2016,Re-Export,Kuwait,"China, Hong Kong SAR",82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4800,,,22.350627,114.1849161
2016,2016,Re-Export,Kuwait,Indonesia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",57099,,,-2.4833826,117.8902853
2016,2016,Re-Export,Kuwait,Iran,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",24867,,,32.6475314,54.5643516
2016,2016,Re-Export,Kuwait,Iraq,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",18195,,,33.0955793,44.1749775
2016,2016,Re-Export,Kuwait,Italy,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",114642,,,42.6384261,12.674297
2016,2016,Re-Export,Kuwait,Japan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",876,,,36.5748441,139.2394179
2016,2016,Re-Export,Kuwait,Jordan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3301,,,31.1667049,36.941628
2016,2016,Re-Export,Kuwait,Kenya,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",165,,,1.4419683,38.4313975
2016,2016,Re-Export,Kuwait,Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2024,,,,
2016,2016,Re-Export,Kuwait,Lebanon,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",403,,,33.8750629,35.843409
2016,2016,Re-Export,Kuwait,Malaysia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5041,,,4.5693754,102.2656823
2016,2016,Re-Export,Kuwait,Morocco,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",36783,,,31.1728205,-7.3362482
2016,2016,Re-Export,Kuwait,Oman,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",40098,,,21.0000287,57.0036901
2016,2016,Re-Export,Kuwait,Netherlands,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",70768,,,52.2434979,5.6343227
2016,2016,Re-Export,Kuwait,Norway,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4446,,,60.5000209,9.0999715
2016,2016,Re-Export,Kuwait,Philippines,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21758,,,12.7503486,122.7312101
2016,2016,Re-Export,Kuwait,Qatar,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",91762,,,25.3336984,51.2295295
2016,2016,Re-Export,Kuwait,Saudi Arabia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",392233,,,25.6242618,42.3528328
2016,2016,Re-Export,Kuwait,India,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",32972,,,22.3511148,78.6677428
2016,2016,Re-Export,Kuwait,Singapore,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10814,,,1.357107,103.8194992
2016,2016,Re-Export,Kuwait,South Africa,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",443,,,-28.8166236,24.991639
2016,2016,Re-Export,Kuwait,Spain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",12571,,,39.3260685,-4.8379791
2016,2016,Re-Export,Kuwait,Switzerland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",44197,,,46.7985624,8.2319736
2016,2016,Re-Export,Kuwait,Syria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2983,,,34.6401861,39.0494106
2016,2016,Re-Export,Kuwait,Thailand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",27666,,,14.8971921,100.83273
2016,2016,Re-Export,Kuwait,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",777079,,,24.0002488,53.9994829
2016,2016,Re-Export,Kuwait,Turkey,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",277,,,38.9597594,34.9249653
2016,2016,Re-Export,Kuwait,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",34908,,,26.2540493,29.2675469
2016,2016,Re-Export,Kuwait,United Kingdom,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",44663,,,54.7023545,-3.2765753
2016,2016,Re-Export,Kuwait,USA,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",224749,,,,
