yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,392906,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,895155,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1514,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,433794,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,6323,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,67549,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2543,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2016,2016,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,1917828,40.7696272,44.6736646,,
