yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,10784,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,4848536,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1748349,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,2488405,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1957839,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,2696975,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,1836420,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,46501,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,4007815,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,16666,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,3912247,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2009,2009,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,29461068,38.9597594,34.9249653,,
