yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,2216,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,10196,33.8750629,35.843409,39.89317229901691,61.060280637304274
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,6432,33.8750629,35.843409,37.977378106878206,73.97804075806764
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,47814,33.8750629,35.843409,51.67568633314729,27.673469819741847
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,40821,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,53932,33.8750629,35.843409,19.569604022535763,12.47761721199581
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3082,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,25473,33.8750629,35.843409,59.36075159783851,25.01346951967388
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,21275,33.8750629,35.843409,40.12399607988535,20.742583178432696
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,444061,33.8750629,35.843409,6.06272746187266,22.727528470146083
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,32162,33.8750629,35.843409,26.42921218083572,52.86847103284948
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,5086,33.8750629,35.843409,47.92172048214207,7.866753258497997
2013,2013,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1068230,33.8750629,35.843409,,
