yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Export,Qatar,World,64.0,Footwear; gaiters and the like; parts of such articles,8756259.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019.0,Export,Qatar,China,64.0,Footwear; gaiters and the like; parts of such articles,79782.0,,25.3336984,51.2295295,35.000074,104.999927
2019,2019.0,Export,Qatar,France,64.0,Footwear; gaiters and the like; parts of such articles,226914.0,,25.3336984,51.2295295,46.603354,1.8883335
2019,2019.0,Export,Qatar,Italy,64.0,Footwear; gaiters and the like; parts of such articles,1824738.0,,25.3336984,51.2295295,42.6384261,12.674297
2019,2019.0,Export,Qatar,Jordan,64.0,Footwear; gaiters and the like; parts of such articles,16161.0,,25.3336984,51.2295295,31.1667049,36.941628
2019,2019.0,Export,Qatar,Kuwait,64.0,Footwear; gaiters and the like; parts of such articles,2986763.0,,25.3336984,51.2295295,29.2733964,47.4979476
2019,2019.0,Export,Qatar,Oman,64.0,Footwear; gaiters and the like; parts of such articles,2575854.0,,25.3336984,51.2295295,21.0000287,57.0036901
2019,2019.0,Export,Qatar,South Africa,64.0,Footwear; gaiters and the like; parts of such articles,42820.0,,25.3336984,51.2295295,-28.8166236,24.991639
2019,2019.0,Export,Qatar,Spain,64.0,Footwear; gaiters and the like; parts of such articles,111841.0,,25.3336984,51.2295295,39.3260685,-4.8379791
2019,2019.0,Export,Qatar,Switzerland,64.0,Footwear; gaiters and the like; parts of such articles,289759.0,,25.3336984,51.2295295,46.7985624,8.2319736
2019,2019.0,Export,Qatar,Turkey,64.0,Footwear; gaiters and the like; parts of such articles,260729.0,,25.3336984,51.2295295,38.9597594,34.9249653
2019,2019.0,Export,Qatar,United Kingdom,64.0,Footwear; gaiters and the like; parts of such articles,340892.0,,25.3336984,51.2295295,54.7023545,-3.2765753
