yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,215654,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,12272,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,4758,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,11521,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,2832,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,211339,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,7613,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,44353,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,639704,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,21065,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,807649,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,34918,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,20403,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,World,World,14771811,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Afghanistan, Afghanistan,400,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,213578,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Azerbaijan, Azerbaijan,2997,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,150088,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Djibouti, Djibouti,163454,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,625118,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,10421,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,179200,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,23498,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,125394,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,9693281,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,304610,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,129791,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,220445,24.0002488,53.9994829,,
2006,2006,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,175811,24.0002488,53.9994829,,
