yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,3706,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,52382,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,6338,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,364791,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,516862,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1395961,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,2073,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1526016,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,15923,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,940802,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2008,2008,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4832504,35.8885993,14.4476911,,
