yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,572445,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,5025788,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,1415226,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,48510,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,681620,25.3336984,51.2295295,19.569604022535763,12.47761721199581
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2353687,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1751073,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2699220,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,27311714,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,7118146,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,284540,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,908326,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,3107729,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2010,2010,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,325626172,25.3336984,51.2295295,,
