yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,117077,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,18073,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,746,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,276831,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,18074,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,18132,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,1651968,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,9503,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,251587,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2007,2007,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,World,World,20728925,16.3471243,47.8915271,,
