yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,23000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,227000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,392000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,27000,30.8124247,34.8594762,,
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,44000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1554000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,11000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,5000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,51000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,227000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2511000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,152000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5769000,30.8124247,34.8594762,,
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,234000,30.8124247,34.8594762,,
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,33000,30.8124247,34.8594762,,
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,1000,30.8124247,34.8594762,,
2004,2004,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,155000,30.8124247,34.8594762,,
