yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Australia and New Zealand,Oceania,2000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Eastern Asia,Asia,48000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Eastern Europe,Europe,18000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Northern America,Americas,4547000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Northern Europe,Europe,4473000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",South-eastern Asia,Asia,129000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Southern Europe,Europe,1212000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Sub-Saharan Africa,Africa,854000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",Western Europe,Europe,11891000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans",World,World,23715000,30.8124247,34.8594762,,
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans", Cyprus, Cyprus,26000,30.8124247,34.8594762,,
2002,2002,Export,Israel,16,"Preparations of meat, of fish or of crustaceans", Georgia, Georgia,4000,30.8124247,34.8594762,,
