yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1133,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,1352,40.7696272,44.6736646,39.89317229901691,61.060280637304274
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1487322,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,263587,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,8,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,163499,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,157159,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,880,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,370094,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3233793,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3287559,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,596504,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2009,2009,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9693638,40.7696272,44.6736646,,
