yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,37763,31.1667049,36.941628,37.977378106878206,73.97804075806764
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,502776,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,6860,31.1667049,36.941628,59.36075159783851,25.01346951967388
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,52126,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1667009,31.1667049,36.941628,26.42921218083572,52.86847103284948
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6742851,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,74791,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,170674,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,1040189,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,107013,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,117075,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,38935,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,74252,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,883814,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,484694,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,19270,31.1667049,36.941628,,
2021,2021,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,509281,31.1667049,36.941628,,
