yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,567939,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,29730420,30.3308401,71.247499,37.977378106878206,73.97804075806764
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,137507,30.3308401,71.247499,51.67568633314729,27.673469819741847
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1437676,30.3308401,71.247499,,
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,253544,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3410877,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,7790909,30.3308401,71.247499,59.36075159783851,25.01346951967388
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4462814,30.3308401,71.247499,10.528384761701911,103.08333472012376
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,18745,30.3308401,71.247499,25.499703063807168,75.5024015339642
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1176308,30.3308401,71.247499,40.12399607988535,20.742583178432696
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,263153,30.3308401,71.247499,6.06272746187266,22.727528470146083
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1118548,30.3308401,71.247499,26.42921218083572,52.86847103284948
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,6863046,30.3308401,71.247499,47.92172048214207,7.866753258497997
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,61991266,30.3308401,71.247499,,
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,34,30.3308401,71.247499,,
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,1107,30.3308401,71.247499,,
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,3622,30.3308401,71.247499,,
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Malta, Malta,62,30.3308401,71.247499,,
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,583256,30.3308401,71.247499,,
2020,2020,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,266436,30.3308401,71.247499,,
