yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Import,Oman,World,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,21794460.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2018,2018.0,Import,Oman,Belgium,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,540205.0,,21.0000287,57.0036901,50.6402809,4.6667145
2018,2018.0,Import,Oman,Bosnia Herzegovina,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,118210.0,,21.0000287,57.0036901,44.3053476,17.5961467
2018,2018.0,Import,Oman,Brazil,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1150946.0,,21.0000287,57.0036901,-10.3333333,-53.2
2018,2018.0,Import,Oman,Sri Lanka,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10366.0,,21.0000287,57.0036901,7.5554942,80.7137847
2018,2018.0,Import,Oman,China,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,907.0,,21.0000287,57.0036901,35.000074,104.999927
2018,2018.0,Import,Oman,Czechia,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,233654.0,,21.0000287,57.0036901,49.7439047,15.3381061
2018,2018.0,Import,Oman,France,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,279698.0,,21.0000287,57.0036901,46.603354,1.8883335
2018,2018.0,Import,Oman,Germany,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2120275.0,,21.0000287,57.0036901,51.1638175,10.4478313
2018,2018.0,Import,Oman,Iran,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,312.0,,21.0000287,57.0036901,32.6475314,54.5643516
2018,2018.0,Import,Oman,Italy,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6704.0,,21.0000287,57.0036901,42.6384261,12.674297
2018,2018.0,Import,Oman,Rep. of Korea,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,215.0,,21.0000287,57.0036901,,
2018,2018.0,Import,Oman,Kuwait,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2566.0,,21.0000287,57.0036901,29.2733964,47.4979476
2018,2018.0,Import,Oman,Luxembourg,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6923203.0,,21.0000287,57.0036901,49.8158683,6.1296751
2018,2018.0,Import,Oman,Netherlands,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5477.0,,21.0000287,57.0036901,52.2434979,5.6343227
2018,2018.0,Import,Oman,Qatar,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5201.0,,21.0000287,57.0036901,25.3336984,51.2295295
2018,2018.0,Import,Oman,India,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2094826.0,,21.0000287,57.0036901,22.3511148,78.6677428
2018,2018.0,Import,Oman,South Africa,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,819.0,,21.0000287,57.0036901,-28.8166236,24.991639
2018,2018.0,Import,Oman,United Arab Emirates,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2294259.0,,21.0000287,57.0036901,24.0002488,53.9994829
2018,2018.0,Import,Oman,United Kingdom,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,269006.0,,21.0000287,57.0036901,54.7023545,-3.2765753
2018,2018.0,Import,Oman,USA,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5737601.0,,21.0000287,57.0036901,39.7837304,-100.445882
