yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,1641000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,84000,30.8124247,34.8594762,39.89317229901691,61.060280637304274
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2485000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,960000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,80000,30.8124247,34.8594762,,
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,2191000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,5387000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,5058000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1093000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1000,30.8124247,34.8594762,25.499703063807168,75.5024015339642
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,18066000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,2068000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,5346000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,27373000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,World,World,80658000,30.8124247,34.8594762,,
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,484000,30.8124247,34.8594762,,
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials, Georgia, Georgia,1000,30.8124247,34.8594762,,
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,79000,30.8124247,34.8594762,,
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials, Malta, Malta,7000,30.8124247,34.8594762,,
2006,2006,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,3000,30.8124247,34.8594762,,
