yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,3435,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1783,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,4900,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,71668,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,220,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,39334,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,155413,34.9823018,33.1451285,,
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,18775,34.9823018,33.1451285,,
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,10468,34.9823018,33.1451285,,
2004,2004,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,83,34.9823018,33.1451285,,
