yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Export,Qatar,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3704041.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019.0,Export,Qatar,Azerbaijan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",53155.0,,25.3336984,51.2295295,40.3936294,47.7872508
2019,2019.0,Export,Qatar,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",57967.0,,25.3336984,51.2295295,50.6402809,4.6667145
2019,2019.0,Export,Qatar,Brunei Darussalam,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",179861.0,,25.3336984,51.2295295,4.4137155,114.5653908
2019,2019.0,Export,Qatar,Belarus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",34533.0,,25.3336984,51.2295295,53.4250605,27.6971358
2019,2019.0,Export,Qatar,Finland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",33901.0,,25.3336984,51.2295295,63.2467777,25.9209164
2019,2019.0,Export,Qatar,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",401506.0,,25.3336984,51.2295295,51.1638175,10.4478313
2019,2019.0,Export,Qatar,"China, Hong Kong SAR",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",68846.0,,25.3336984,51.2295295,22.350627,114.1849161
2019,2019.0,Export,Qatar,Indonesia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",25552.0,,25.3336984,51.2295295,-2.4833826,117.8902853
2019,2019.0,Export,Qatar,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",24378.0,,25.3336984,51.2295295,42.6384261,12.674297
2019,2019.0,Export,Qatar,Japan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",27249.0,,25.3336984,51.2295295,36.5748441,139.2394179
2019,2019.0,Export,Qatar,Jordan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",218702.0,,25.3336984,51.2295295,31.1667049,36.941628
2019,2019.0,Export,Qatar,Rep. of Korea,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",177536.0,,25.3336984,51.2295295,,
2019,2019.0,Export,Qatar,Kuwait,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",377091.0,,25.3336984,51.2295295,29.2733964,47.4979476
2019,2019.0,Export,Qatar,Oman,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1419715.0,,25.3336984,51.2295295,21.0000287,57.0036901
2019,2019.0,Export,Qatar,Netherlands,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",105144.0,,25.3336984,51.2295295,52.2434979,5.6343227
2019,2019.0,Export,Qatar,Norway,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",84151.0,,25.3336984,51.2295295,60.5000209,9.0999715
2019,2019.0,Export,Qatar,Pakistan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",93729.0,,25.3336984,51.2295295,30.3308401,71.247499
2019,2019.0,Export,Qatar,India,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",23307.0,,25.3336984,51.2295295,22.3511148,78.6677428
2019,2019.0,Export,Qatar,Singapore,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",45880.0,,25.3336984,51.2295295,1.357107,103.8194992
2019,2019.0,Export,Qatar,Spain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",24866.0,,25.3336984,51.2295295,39.3260685,-4.8379791
2019,2019.0,Export,Qatar,Switzerland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",89448.0,,25.3336984,51.2295295,46.7985624,8.2319736
2019,2019.0,Export,Qatar,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",103491.0,,25.3336984,51.2295295,54.7023545,-3.2765753
2019,2019.0,Export,Qatar,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",34022.0,,25.3336984,51.2295295,39.7837304,-100.445882
