yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Australia and New Zealand,Oceania,108000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Central Asia,Asia,1000,30.8124247,34.8594762,39.89317229901691,61.060280637304274
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Eastern Asia,Asia,42000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Eastern Europe,Europe,78000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Egypt,Egypt,263000,30.8124247,34.8594762,,
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Latin America and the Caribbean,Americas,27000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Northern America,Americas,718000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Northern Europe,Europe,28000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",South-eastern Asia,Asia,14000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Southern Europe,Europe,11000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Sub-Saharan Africa,Africa,35000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Western Asia,Asia,3000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Western Europe,Europe,89000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",World,World,1618000,30.8124247,34.8594762,,
2012,2012,Export,Israel,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Jordan, Jordan,44000,30.8124247,34.8594762,,
